core,Year Drilled,Depth,Max age (Ma),Core Diameter (inches)
ALHIC1901,19/20,159.84,4,9
ALHIC1902,19/20,206.53,6,4
ALHIC1903,19/20,149.89,0.147,9
ALHIC2201,22/23,90,2.8,9
ALHIC2301,23/24,89,,4
ALHIC2302,23/24,143,,9
PICO2201,22/23,14.8,1,3
PICO2202,22/23,3.11,,3
PICO2301,23/24,4,,3
PICO2302,23/24,12,,3
PICO2303,23/24,20.58,,3
PICO2303,23/24,9.48,,3
IDDO2301,23/24,14,,3
IDDO2302,23/24,13.72,,3
IDDO2303,23/24,10.85,,3
ALHIC1501,15/16,,,3
ALHIC1502,15/16,191,2.2,3
ALHIC1503,15/16,147,2.7,3
S27,10/11,222.11,0.25,3
S1-S13,10/11,,,3
